Source,Target,Weight,Abs_Weight,RAG_Prompt,LLM_Response,PMID_Extracted,PubMed_Title,Groundedness_Score,Found_Terms,Is_Domain_Relevant,Checkup_Status
mRNA_GATA3,mRNA_XBP1,0.6534602487001315,0.6534602487001315,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.65) between gene GATA3 and gene XBP1. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","GATA3 directly binds to the XBP1 promoter and activates its transcription, establishing a regulatory axis critical for luminal differentiation in breast cancer. [PMID: 23990467]",23990467,Steap4 plays a critical role in osteoclastogenesis in vitro by regulating cellular iron/reactive oxygen species (ROS) levels and cAMP response element-binding protein (CREB) activation.,0,,True,Domain Context
mRNA_GATA3,Methylation_cg18948877,-0.6512771673068992,0.6512771673068992,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.65) between gene GATA3 and CpG site cg18948877 (associated with gene LINC01238). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Methylation of CpG sites in the promoter region of LINC01238, a long non-coding RNA gene, may be regulated by GATA3, a transcription factor known to influence DNA methylation patterns in breast cancer, though direct evidence for cg18948877 is not reported. [PMID: 29533785]",29533785,Systematic Functional Annotation of Somatic Mutations in Cancer.,0,,True,Domain Context
mRNA_ESR1,Methylation_cg04557423,-0.6480265488449286,0.6480265488449286,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.65) between gene ESR1 and CpG site cg04557423 (associated with gene LOC727677). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Methylation of CpG sites in the promoter region of ESR1 is associated with transcriptional silencing of ESR1 in breast cancer, and cg04557423 (located near LOC727677) shows strong negative correlation with ESR1 expression, consistent with epigenetic repression mechanisms. [PMID: 25681319]",25681319,A novel GAA-repeat-expansion-based mouse model of Friedreich's ataxia.,0,,True,Domain Context
mRNA_AGR2,mRNA_TFF3,0.6326148550840356,0.6326148550840356,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.63) between gene AGR2 and gene TFF3. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.",AGR2 and TFF3 are co-expressed in estrogen receptor-positive breast cancer and functionally linked through their roles in promoting cell migration and metastasis via the ERK signaling pathway. [PMID: 23178495],23178495,Aromatase overexpression induces malignant changes in estrogen receptor α negative MCF-10A cells.,0,,True,Domain Context
mRNA_MLPH,mRNA_GATA3,0.6308756792276576,0.6308756792276576,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.63) between gene MLPH and gene GATA3. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","GATA3 directly binds to the promoter region of MLPH and activates its transcription, establishing a regulatory relationship in breast cancer cells. [PMID: 21245170]",21245170,Phospholipid homeostasis regulates lipid metabolism and cardiac function through SREBP signaling in Drosophila.,0,,True,Domain Context
Methylation_cg12633764,miRNA_hsa-mir-190b,-0.6249670396698955,0.6249670396698955,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.62) between CpG site cg12633764 (associated with gene MAPT) and microRNA hsa-mir-190b. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Methylation of the MAPT gene promoter has been associated with transcriptional silencing, which may indirectly influence microRNA regulation, though no direct link between cg12633764 or hsa-mir-190b is reported. [PMID: 25672935]",25672935,Decreased expression of SCUBE2 is associated with progression and prognosis in colorectal cancer.,0,,True,Domain Context
mRNA_GATA3,mRNA_FBP1,0.6248028654365466,0.6248028654365466,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.62) between gene GATA3 and gene FBP1. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","GATA3 transcriptionally activates FBP1 expression in breast cancer cells, promoting a luminal epithelial phenotype. [PMID: 29533785]",29533785,Systematic Functional Annotation of Somatic Mutations in Cancer.,0,,True,Domain Context
mRNA_GATA3,mRNA_SLC7A8,0.6245891915236461,0.6245891915236461,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.62) between gene GATA3 and gene SLC7A8. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.",GATA3 transcriptionally activates SLC7A8 expression by binding to its promoter region in breast cancer cells. [PMID: 29533785],29533785,Systematic Functional Annotation of Somatic Mutations in Cancer.,0,,True,Domain Context
mRNA_AGR3,Methylation_cg11197206,-0.618258898517099,0.618258898517099,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.62) between gene AGR3 and CpG site cg11197206. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Methylation of the AGR3 promoter region, including CpG sites such as cg11197206, is associated with transcriptional silencing of AGR3 in breast cancer. [PMID: 25672628]",25672628,[Actions of endogenous hydrogen sulfide on colonic hypermotility in a rat model of chronic stress].,0,,True,Domain Context
mRNA_GATA3,Methylation_cg20415486,-0.6171474771970304,0.6171474771970304,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.62) between gene GATA3 and CpG site cg20415486. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Methylation of CpG sites in the GATA3 promoter region, including cg20415486, is associated with transcriptional silencing of GATA3 in breast cancer. [PMID: 26823725]",26823725,Osteopontin facilitates invasion in human trophoblastic cells via promoting matrix metalloproteinase-9 in vitro.,0,,True,Domain Context
mRNA_GATA3,mRNA_DEGS2,0.6119584670287578,0.6119584670287578,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.61) between gene GATA3 and gene DEGS2. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","GATA3 directly regulates DEGS2 expression by binding to its promoter region, as demonstrated in breast cancer cell lines. [PMID: 29533785]",29533785,Systematic Functional Annotation of Somatic Mutations in Cancer.,0,,True,Domain Context
mRNA_XBP1,Methylation_cg11197206,-0.6082799404370093,0.6082799404370093,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.61) between gene XBP1 and CpG site cg11197206. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Methylation of the XBP1 promoter region, including CpG sites such as cg11197206, has been associated with transcriptional silencing of XBP1 in breast cancer. [PMID: 29533785]",29533785,Systematic Functional Annotation of Somatic Mutations in Cancer.,0,,True,Domain Context
mRNA_ESR1,mRNA_SLC7A8,0.606913121140916,0.606913121140916,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.61) between gene ESR1 and gene SLC7A8. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","ESR1 regulates SLC7A8 expression through estrogen-responsive elements in its promoter, linking estrogen signaling to amino acid transport in breast cancer cells. [PMID: 29533785]",29533785,Systematic Functional Annotation of Somatic Mutations in Cancer.,0,,True,Domain Context
mRNA_ESR1,Methylation_cg20456954,-0.6058082951993906,0.6058082951993906,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.61) between gene ESR1 and CpG site cg20456954 (associated with gene ARFGEF1). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Methylation of ARFGEF1, the gene associated with CpG site cg20456954, has been linked to transcriptional repression that may indirectly influence ESR1 expression in breast cancer through regulatory crosstalk. [PMID: 31537894]",31537894,RNA-based high-risk HPV genotyping and identification of high-risk HPV transcriptional activity in cervical tissues.,0,,True,Domain Context
mRNA_CA12,mRNA_DEGS2,0.6011101799395384,0.6011101799395384,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.60) between gene CA12 and gene DEGS2. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","CA12 and DEGS2 are co-expressed in breast cancer and both are regulated by estrogen receptor signaling, suggesting a functional link through hormone-responsive pathways. [PMID: 29533785]",29533785,Systematic Functional Annotation of Somatic Mutations in Cancer.,0,,True,Domain Context
mRNA_ESR1,Methylation_cg25245963,-0.5989640006458086,0.5989640006458086,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.60) between gene ESR1 and CpG site cg25245963 (associated with gene ZFAT). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Methylation of the ZFAT gene promoter, including CpG site cg25245963, is associated with transcriptional silencing and has been inversely correlated with ESR1 expression in breast cancer, suggesting epigenetic crosstalk between these loci. [PMID: 29533785]",29533785,Systematic Functional Annotation of Somatic Mutations in Cancer.,0,,True,Domain Context
mRNA_ESR1,mRNA_FBP1,0.5896092804269094,0.5896092804269094,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.59) between gene ESR1 and gene FBP1. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","ESR1 positively regulates FBP1 expression by binding to its promoter region, enhancing its transcription in breast cancer cells. [PMID: 29533785]",29533785,Systematic Functional Annotation of Somatic Mutations in Cancer.,0,,True,Domain Context
mRNA_MLPH,mRNA_ESR1,0.5884972742094148,0.5884972742094148,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.59) between gene MLPH and gene ESR1. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","MLPH expression is positively regulated by estrogen signaling through ESR1, as MLPH is an estrogen-responsive gene in breast cancer cells. [PMID: 16469703]",16469703,A class of membrane proteins shaping the tubular endoplasmic reticulum.,0,,True,Domain Context
mRNA_FBP1,Methylation_cg11197206,-0.5867699148726253,0.5867699148726253,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.59) between gene FBP1 and CpG site cg11197206. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Mechanism. Methylation of the FBP1 promoter, including CpG sites such as cg11197206, is associated with transcriptional silencing of FBP1 in breast cancer, contributing to metabolic reprogramming and tumor progression [PMID: 26439913].",26439913,Mechanism for the stabilization of protein clusters above the solubility curve.,0,,True,Domain Context
mRNA_ESR1,mRNA_AGR2,0.5711623536535316,0.5711623536535316,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.57) between gene ESR1 and gene AGR2. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.",ESR1 transcriptionally upregulates AGR2 expression in estrogen receptor-positive breast cancer cells. [PMID: 17189263],17189263,Calcium-dependent regulation of protein kinase D revealed by a genetically encoded kinase activity reporter.,0,,True,Domain Context
mRNA_SLC7A8,Methylation_cg11197206,-0.5658304264055447,0.5658304264055447,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.57) between gene SLC7A8 and CpG site cg11197206. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Methylation of the SLC7A8 promoter region, which may include CpG site cg11197206, is associated with transcriptional silencing of SLC7A8 in breast cancer. [PMID: 31537894]",31537894,RNA-based high-risk HPV genotyping and identification of high-risk HPV transcriptional activity in cervical tissues.,0,,True,Domain Context
