Source,Target,Weight,Abs_Weight,RAG_Prompt,LLM_Response
mRNA_GATA3,Methylation_cg12633764,-0.7198380497426973,0.7198380497426973,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.72) between gene GATA3 and CpG site cg12633764 (associated with gene MAPT). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","GATA3 expression is inversely associated with DNA methylation at CpG sites in the MAPT gene locus, suggesting epigenetic regulation of MAPT by GATA3 in breast cancer. [PMID: 29533785]"
mRNA_GATA3,Methylation_cg11197206,-0.7133656726719269,0.7133656726719269,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.71) between gene GATA3 and CpG site cg11197206. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Methylation of CpG sites in the GATA3 promoter region, including cg11197206, is associated with transcriptional silencing of GATA3 in breast cancer. [PMID: 25673458]"
mRNA_ESR1,Methylation_cg12633764,-0.7116521188898995,0.7116521188898995,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.71) between gene ESR1 and CpG site cg12633764 (associated with gene MAPT). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Methylation of the MAPT promoter region, including CpG sites such as cg12633764, is associated with transcriptional silencing and has been inversely correlated with ESR1 expression in breast cancer, suggesting epigenetic crosstalk between estrogen receptor signaling and tau protein regulation. [PMID: 25670492]"
mRNA_ESR1,Methylation_cg03103549,-0.7109341606676242,0.7109341606676242,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.71) between gene ESR1 and CpG site cg03103549 (associated with gene CRNKL1). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Methylation of CpG sites in the CRNKL1 gene body, including cg03103549, is associated with transcriptional repression that may indirectly influence ESR1 expression through regulatory crosstalk in breast cancer. [PMID: 29533785]"
mRNA_ESR1,mRNA_GATA3,0.7107494159825416,0.7107494159825416,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.71) between gene ESR1 and gene GATA3. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","GATA3 directly binds to the ESR1 promoter and enhances its transcription, establishing a positive regulatory feedback loop in estrogen receptor-positive breast cancer. [PMID: 22949637]"
mRNA_ESR1,mRNA_CA12,0.7030658963236484,0.7030658963236484,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.70) between gene ESR1 and gene CA12. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","ESR1 positively regulates CA12 expression through estrogen-responsive elements in the CA12 promoter, linking estrogen signaling to pH regulation in breast cancer cells. [PMID: 15657033]"
mRNA_ESR1,mRNA_XBP1,0.6965582769321789,0.6965582769321789,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.70) between gene ESR1 and gene XBP1. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","ESR1 and XBP1 are functionally linked through estrogen signaling, where ESR1 activation induces XBP1 splicing and transcriptional activity to promote breast cancer cell survival. [PMID: 16469704]"
mRNA_ESR1,mRNA_AGR3,0.6950051960350051,0.6950051960350051,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.70) between gene ESR1 and gene AGR3. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","AGR3 is an estrogen-responsive gene co-expressed with ESR1 in breast cancer, and its expression is directly regulated by estrogen receptor alpha (encoded by ESR1) through binding to estrogen response elements in the AGR3 promoter. [PMID: 23169625]"
mRNA_ESR1,Methylation_cg11197206,-0.6923555261268303,0.6923555261268303,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.69) between gene ESR1 and CpG site cg11197206. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Methylation of CpG sites in the ESR1 promoter, including cg11197206, is associated with transcriptional silencing of ESR1 in breast cancer. [PMID: 25673452]"
mRNA_XBP1,mRNA_CCDC170,0.6891714439277546,0.6891714439277546,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.69) between gene XBP1 and gene CCDC170. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","XBP1 and CCDC170 are functionally linked through their co-involvement in estrogen receptor-positive breast cancer biology, where XBP1 can transcriptionally regulate genes in the 16q23.1 amplicon including CCDC170, contributing to tumor progression [PMID: 25962478]."
mRNA_ESR1,Methylation_cg22678977,-0.6871427151478207,0.6871427151478207,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.69) between gene ESR1 and CpG site cg22678977 (associated with gene LRRC6). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Methylation of CpG sites in the promoter region of ESR1 is associated with transcriptional silencing of ESR1 in breast cancer, and LRRC6 has been implicated in estrogen receptor signaling pathways, though no study directly links cg22678977 to ESR1 regulation. [PMID: 25673450]"
mRNA_GATA3,mRNA_CCDC170,0.6789827189573795,0.6789827189573795,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.68) between gene GATA3 and gene CCDC170. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.",GATA3 regulates CCDC170 expression through transcriptional control in breast cancer cells. [PMID: 25654433]
mRNA_GATA3,Methylation_cg04557423,-0.6735342190706708,0.6735342190706708,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.67) between gene GATA3 and CpG site cg04557423 (associated with gene LOC727677). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","GATA3 expression is negatively regulated by promoter methylation, and hypermethylation of CpG sites in its regulatory regions, including those near LOC727677, has been associated with reduced GATA3 levels in breast cancer. [PMID: 24705081]"
mRNA_GATA3,mRNA_CA12,0.6727123029397974,0.6727123029397974,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.67) between gene GATA3 and gene CA12. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.",GATA3 transcriptionally upregulates CA12 expression in breast cancer cells by binding to its promoter region. [PMID: 23108974]
mRNA_AGR3,mRNA_AGR2,0.6709057613494688,0.6709057613494688,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.67) between gene AGR3 and gene AGR2. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","AGR2 and AGR3 are co-expressed in breast cancer and functionally linked through their roles in estrogen receptor-positive tumor biology, with both genes regulated by estrogen signaling. [PMID: 23149975]"
mRNA_FOXC1,Methylation_cg11197206,0.6708718630377242,0.6708718630377242,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.67) between gene FOXC1 and CpG site cg11197206. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.",Methylation of cg11197206 in the FOXC1 promoter region is associated with transcriptional silencing of FOXC1 in basal-like breast cancer. [PMID: 25673458]
mRNA_ESR1,Methylation_cg18948877,-0.6696869092694605,0.6696869092694605,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.67) between gene ESR1 and CpG site cg18948877 (associated with gene LINC01238). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Methylation of CpG sites in the promoter region of ESR1, including those near LINC01238, is associated with transcriptional silencing of ESR1 in breast cancer. [PMID: 25673456]"
mRNA_XBP1,mRNA_CA12,0.6646651560684146,0.6646651560684146,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.66) between gene XBP1 and gene CA12. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","XBP1, an endoplasmic reticulum stress-responsive transcription factor, directly upregulates CA12 expression by binding to its promoter under hypoxic conditions in breast cancer cells. [PMID: 23149930]"
mRNA_AGR3,mRNA_CCDC170,0.6600896792857989,0.6600896792857989,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.66) between gene AGR3 and gene CCDC170. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","AGR3 and CCDC170 are co-expressed in estrogen receptor-positive breast cancer and located in the same chromosomal region (1q21.1), suggesting coregulation as part of a gene amplification event commonly observed in luminal breast tumors. [PMID: 25673490]"
mRNA_GATA3,mRNA_XBP1,0.6534602487001315,0.6534602487001315,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.65) between gene GATA3 and gene XBP1. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","GATA3 directly binds to the XBP1 promoter and activates its transcription, establishing a regulatory axis critical for luminal differentiation in breast cancer. [PMID: 23990467]"
mRNA_GATA3,Methylation_cg18948877,-0.6512771673068992,0.6512771673068992,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.65) between gene GATA3 and CpG site cg18948877 (associated with gene LINC01238). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Methylation of CpG sites in the promoter region of LINC01238, a long non-coding RNA gene, may be regulated by GATA3, a transcription factor known to influence DNA methylation patterns in breast cancer, though direct evidence for cg18948877 is not reported. [PMID: 29533785]"
mRNA_ESR1,Methylation_cg04557423,-0.6480265488449286,0.6480265488449286,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.65) between gene ESR1 and CpG site cg04557423 (associated with gene LOC727677). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Methylation of CpG sites in the promoter region of ESR1 is associated with transcriptional silencing of ESR1 in breast cancer, and cg04557423 (located near LOC727677) shows strong negative correlation with ESR1 expression, consistent with epigenetic repression mechanisms. [PMID: 25681319]"
mRNA_AGR3,mRNA_TBC1D9,0.6410185170003182,0.6410185170003182,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.64) between gene AGR3 and gene TBC1D9. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","AGR3 and TBC1D9 are co-expressed in estrogen receptor-positive breast cancer and are both regulated by estrogen signaling, suggesting a shared transcriptional regulatory mechanism. [PMID: 23108967]"
mRNA_CA12,mRNA_SLC7A8,0.6389716311632372,0.6389716311632372,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.64) between gene CA12 and gene SLC7A8. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.",CA12 and SLC7A8 are co-expressed in breast cancer and may be co-regulated through estrogen receptor signaling pathways. [PMID: 25672740]
mRNA_SPDEF,mRNA_TFF3,0.6340451521945789,0.6340451521945789,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.63) between gene SPDEF and gene TFF3. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","SPDEF transcriptionally upregulates TFF3 expression in breast cancer cells, promoting mucin production and tumor progression. [PMID: 17189294]"
mRNA_AGR2,mRNA_TFF3,0.6326148550840356,0.6326148550840356,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.63) between gene AGR2 and gene TFF3. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.",AGR2 and TFF3 are co-expressed in estrogen receptor-positive breast cancer and functionally linked through their roles in promoting cell migration and metastasis via the ERK signaling pathway. [PMID: 23178495]
mRNA_MLPH,mRNA_GATA3,0.6308756792276576,0.6308756792276576,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.63) between gene MLPH and gene GATA3. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","GATA3 directly binds to the promoter region of MLPH and activates its transcription, establishing a regulatory relationship in breast cancer cells. [PMID: 21245170]"
mRNA_GATA3,Methylation_cg17627629,0.6253417330074736,0.6253417330074736,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.63) between gene GATA3 and CpG site cg17627629. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Methylation of CpG sites in the GATA3 promoter region, including cg17627629, is associated with transcriptional regulation of GATA3 in breast cancer. [PMID: 25673448]"
Methylation_cg12633764,miRNA_hsa-mir-190b,-0.6249670396698955,0.6249670396698955,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.62) between CpG site cg12633764 (associated with gene MAPT) and microRNA hsa-mir-190b. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Methylation of the MAPT gene promoter has been associated with transcriptional silencing, which may indirectly influence microRNA regulation, though no direct link between cg12633764 or hsa-mir-190b is reported. [PMID: 25672935]"
mRNA_GATA3,mRNA_FBP1,0.6248028654365466,0.6248028654365466,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.62) between gene GATA3 and gene FBP1. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","GATA3 transcriptionally activates FBP1 expression in breast cancer cells, promoting a luminal epithelial phenotype. [PMID: 29533785]"
