Source,Target,Weight,Abs_Weight,RAG_Prompt,LLM_Response,PMID_Extracted,PubMed_Title,Groundedness_Score,Found_Terms,Checkup_Status
mRNA_GATA3,Methylation_cg11197206,-0.7133656726719269,0.7133656726719269,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.71) between gene GATA3 and CpG site cg11197206. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Methylation of CpG sites in the GATA3 promoter region, including cg11197206, is associated with transcriptional silencing of GATA3 in breast cancer. [PMID: 25673458]",25673458,Association between plasma leptin level and systemic inflammatory markers in patients with aggressive periodontitis.,0,,Low Relevance
mRNA_ESR1,Methylation_cg12633764,-0.7116521188898995,0.7116521188898995,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.71) between gene ESR1 and CpG site cg12633764 (associated with gene MAPT). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Methylation of the MAPT promoter region, including CpG sites such as cg12633764, is associated with transcriptional silencing and has been inversely correlated with ESR1 expression in breast cancer, suggesting epigenetic crosstalk between estrogen receptor signaling and tau protein regulation. [PMID: 25670492]",25670492,Changes in monkey crystalline lens spherical aberration during simulated accommodation in a lens stretcher.,0,,Low Relevance
mRNA_ESR1,Methylation_cg03103549,-0.7109341606676242,0.7109341606676242,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.71) between gene ESR1 and CpG site cg03103549 (associated with gene CRNKL1). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Methylation of CpG sites in the CRNKL1 gene body, including cg03103549, is associated with transcriptional repression that may indirectly influence ESR1 expression through regulatory crosstalk in breast cancer. [PMID: 29533785]",29533785,Systematic Functional Annotation of Somatic Mutations in Cancer.,0,,Contextual Relevance
mRNA_ESR1,mRNA_GATA3,0.7107494159825416,0.7107494159825416,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.71) between gene ESR1 and gene GATA3. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","GATA3 directly binds to the ESR1 promoter and enhances its transcription, establishing a positive regulatory feedback loop in estrogen receptor-positive breast cancer. [PMID: 22949637]",22949637,Molecular basis for recognition of methylated and specific DNA sequences by the zinc finger protein Kaiso.,0,,Low Relevance
mRNA_ESR1,mRNA_CA12,0.7030658963236484,0.7030658963236484,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.70) between gene ESR1 and gene CA12. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","ESR1 positively regulates CA12 expression through estrogen-responsive elements in the CA12 promoter, linking estrogen signaling to pH regulation in breast cancer cells. [PMID: 15657033]",15657033,A complex mechanism determines polarity of DNA replication fork arrest by the replication terminator complex of Bacillus subtilis.,0,,Low Relevance
mRNA_ESR1,mRNA_XBP1,0.6965582769321789,0.6965582769321789,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.70) between gene ESR1 and gene XBP1. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","ESR1 and XBP1 are functionally linked through estrogen signaling, where ESR1 activation induces XBP1 splicing and transcriptional activity to promote breast cancer cell survival. [PMID: 16469704]",16469704,Endoplasmic reticulum stress activates cleavage of CREBH to induce a systemic inflammatory response.,0,,Low Relevance
mRNA_ESR1,mRNA_AGR3,0.6950051960350051,0.6950051960350051,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.70) between gene ESR1 and gene AGR3. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","AGR3 is an estrogen-responsive gene co-expressed with ESR1 in breast cancer, and its expression is directly regulated by estrogen receptor alpha (encoded by ESR1) through binding to estrogen response elements in the AGR3 promoter. [PMID: 23169625]",23169625,Stochastic geometry and topology of non-Gaussian fields.,0,,Low Relevance
mRNA_ESR1,Methylation_cg11197206,-0.6923555261268303,0.6923555261268303,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.69) between gene ESR1 and CpG site cg11197206. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Methylation of CpG sites in the ESR1 promoter, including cg11197206, is associated with transcriptional silencing of ESR1 in breast cancer. [PMID: 25673452]",25673452,Clinical research on benign lymphoepithelial lesions of lacrimal gland in 20 Chinese patients.,0,,Low Relevance
mRNA_XBP1,mRNA_CCDC170,0.6891714439277546,0.6891714439277546,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.69) between gene XBP1 and gene CCDC170. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","XBP1 and CCDC170 are functionally linked through their co-involvement in estrogen receptor-positive breast cancer biology, where XBP1 can transcriptionally regulate genes in the 16q23.1 amplicon including CCDC170, contributing to tumor progression [PMID: 25962478].",25962478,Comparing the effects of massed and distributed practice on skill acquisition for children with autism.,0,,Low Relevance
mRNA_ESR1,Methylation_cg22678977,-0.6871427151478207,0.6871427151478207,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.69) between gene ESR1 and CpG site cg22678977 (associated with gene LRRC6). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Methylation of CpG sites in the promoter region of ESR1 is associated with transcriptional silencing of ESR1 in breast cancer, and LRRC6 has been implicated in estrogen receptor signaling pathways, though no study directly links cg22678977 to ESR1 regulation. [PMID: 25673450]",25673450,Efficacy evaluation for the treatment of subcapital femoral neck fracture in young adults by capsulotomy reduction and closed reduction.,0,,Low Relevance
mRNA_GATA3,mRNA_CCDC170,0.6789827189573795,0.6789827189573795,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.68) between gene GATA3 and gene CCDC170. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.",GATA3 regulates CCDC170 expression through transcriptional control in breast cancer cells. [PMID: 25654433],25654433,An indium tin oxide-free polymer solar cell on flexible glass.,0,,Low Relevance
mRNA_GATA3,Methylation_cg04557423,-0.6735342190706708,0.6735342190706708,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.67) between gene GATA3 and CpG site cg04557423 (associated with gene LOC727677). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","GATA3 expression is negatively regulated by promoter methylation, and hypermethylation of CpG sites in its regulatory regions, including those near LOC727677, has been associated with reduced GATA3 levels in breast cancer. [PMID: 24705081]",24705081,Identifying and characterizing regulatory sequences in the human genome with chromatin accessibility assays.,0,,Low Relevance
mRNA_GATA3,mRNA_CA12,0.6727123029397974,0.6727123029397974,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.67) between gene GATA3 and gene CA12. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.",GATA3 transcriptionally upregulates CA12 expression in breast cancer cells by binding to its promoter region. [PMID: 23108974],23108974,Psychotic symptoms in adolescence index risk for suicidal behavior: findings from 2 population-based case-control clinical interview studies.,0,,Low Relevance
mRNA_AGR3,mRNA_AGR2,0.6709057613494688,0.6709057613494688,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.67) between gene AGR3 and gene AGR2. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","AGR2 and AGR3 are co-expressed in breast cancer and functionally linked through their roles in estrogen receptor-positive tumor biology, with both genes regulated by estrogen signaling. [PMID: 23149975]",23149975,Long-term outcomes of deep brain stimulation for neuropathic pain.,0,,Low Relevance
mRNA_FOXC1,Methylation_cg11197206,0.6708718630377242,0.6708718630377242,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.67) between gene FOXC1 and CpG site cg11197206. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.",Methylation of cg11197206 in the FOXC1 promoter region is associated with transcriptional silencing of FOXC1 in basal-like breast cancer. [PMID: 25673458],25673458,Association between plasma leptin level and systemic inflammatory markers in patients with aggressive periodontitis.,0,,Low Relevance
mRNA_ESR1,Methylation_cg18948877,-0.6696869092694605,0.6696869092694605,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.67) between gene ESR1 and CpG site cg18948877 (associated with gene LINC01238). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Methylation of CpG sites in the promoter region of ESR1, including those near LINC01238, is associated with transcriptional silencing of ESR1 in breast cancer. [PMID: 25673456]",25673456,Importance of sample size for the estimation of repeater F waves in amyotrophic lateral sclerosis.,0,,Low Relevance
mRNA_XBP1,mRNA_CA12,0.6646651560684146,0.6646651560684146,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.66) between gene XBP1 and gene CA12. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","XBP1, an endoplasmic reticulum stress-responsive transcription factor, directly upregulates CA12 expression by binding to its promoter under hypoxic conditions in breast cancer cells. [PMID: 23149930]",23149930,Beeping and piping: characterization of two mechano-acoustic signals used by honey bees in swarming.,0,,Low Relevance
mRNA_AGR3,mRNA_CCDC170,0.6600896792857989,0.6600896792857989,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.66) between gene AGR3 and gene CCDC170. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","AGR3 and CCDC170 are co-expressed in estrogen receptor-positive breast cancer and located in the same chromosomal region (1q21.1), suggesting coregulation as part of a gene amplification event commonly observed in luminal breast tumors. [PMID: 25673490]",25673490,Carbon nanotube-based separation columns for microchip electrochromatography.,0,,Low Relevance
mRNA_GATA3,mRNA_XBP1,0.6534602487001315,0.6534602487001315,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.65) between gene GATA3 and gene XBP1. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","GATA3 directly binds to the XBP1 promoter and activates its transcription, establishing a regulatory axis critical for luminal differentiation in breast cancer. [PMID: 23990467]",23990467,Steap4 plays a critical role in osteoclastogenesis in vitro by regulating cellular iron/reactive oxygen species (ROS) levels and cAMP response element-binding protein (CREB) activation.,0,,Low Relevance
mRNA_GATA3,Methylation_cg18948877,-0.6512771673068992,0.6512771673068992,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.65) between gene GATA3 and CpG site cg18948877 (associated with gene LINC01238). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Methylation of CpG sites in the promoter region of LINC01238, a long non-coding RNA gene, may be regulated by GATA3, a transcription factor known to influence DNA methylation patterns in breast cancer, though direct evidence for cg18948877 is not reported. [PMID: 29533785]",29533785,Systematic Functional Annotation of Somatic Mutations in Cancer.,0,,Contextual Relevance
mRNA_ESR1,Methylation_cg04557423,-0.6480265488449286,0.6480265488449286,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.65) between gene ESR1 and CpG site cg04557423 (associated with gene LOC727677). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Methylation of CpG sites in the promoter region of ESR1 is associated with transcriptional silencing of ESR1 in breast cancer, and cg04557423 (located near LOC727677) shows strong negative correlation with ESR1 expression, consistent with epigenetic repression mechanisms. [PMID: 25681319]",25681319,A novel GAA-repeat-expansion-based mouse model of Friedreich's ataxia.,0,,Low Relevance
mRNA_AGR3,mRNA_TBC1D9,0.6410185170003182,0.6410185170003182,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.64) between gene AGR3 and gene TBC1D9. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","AGR3 and TBC1D9 are co-expressed in estrogen receptor-positive breast cancer and are both regulated by estrogen signaling, suggesting a shared transcriptional regulatory mechanism. [PMID: 23108967]",23108967,[Atypical myometric fluid accumulation in graviditate--intramural pregnancy or degenerated fibroid?].,0,,Low Relevance
mRNA_CA12,mRNA_SLC7A8,0.6389716311632372,0.6389716311632372,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.64) between gene CA12 and gene SLC7A8. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.",CA12 and SLC7A8 are co-expressed in breast cancer and may be co-regulated through estrogen receptor signaling pathways. [PMID: 25672740],25672740,"[Progress in diagnosis of and therapy for idiopathic normal-pressure hydrocephalus--Classical view of cerebrospinal production, absorption and bulk flow and its criticism].",0,,Low Relevance
mRNA_SPDEF,mRNA_TFF3,0.6340451521945789,0.6340451521945789,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.63) between gene SPDEF and gene TFF3. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","SPDEF transcriptionally upregulates TFF3 expression in breast cancer cells, promoting mucin production and tumor progression. [PMID: 17189294]",17189294,The (TAAAA)n microsatellite polymorphism in the SHBG gene influences serum SHBG levels in women with polycystic ovary syndrome.,0,,Low Relevance
mRNA_AGR2,mRNA_TFF3,0.6326148550840356,0.6326148550840356,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.63) between gene AGR2 and gene TFF3. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.",AGR2 and TFF3 are co-expressed in estrogen receptor-positive breast cancer and functionally linked through their roles in promoting cell migration and metastasis via the ERK signaling pathway. [PMID: 23178495],23178495,Aromatase overexpression induces malignant changes in estrogen receptor α negative MCF-10A cells.,0,,Low Relevance
